lesson_id,tutor_id,student_id,subject_id,scheduled_at,duration_minutes,status
1,1,1,1,2026-01-05 10:00:00,60,completed
2,1,1,1,2026-01-12 10:00:00,60,completed
3,2,2,6,2026-01-06 14:00:00,90,completed
4,2,2,6,2026-01-13 14:00:00,90,completed
5,3,3,2,2026-01-07 11:00:00,60,completed
6,4,4,5,2026-01-08 15:00:00,60,completed
7,5,5,8,2026-01-09 16:00:00,90,completed
8,1,6,1,2026-01-10 10:00:00,60,completed
9,2,7,6,2026-01-11 14:00:00,90,completed
10,3,8,2,2026-01-14 11:00:00,60,completed
11,1,1,1,2026-01-19 10:00:00,60,completed
12,2,2,6,2026-01-20 14:00:00,90,completed
13,4,4,5,2026-01-22 15:00:00,60,completed
14,5,5,8,2026-01-23 16:00:00,90,completed
15,7,9,7,2026-01-15 13:00:00,60,completed
16,8,10,4,2026-01-16 12:00:00,60,completed
17,9,11,1,2026-01-17 09:00:00,60,completed
18,10,12,6,2026-01-18 17:00:00,90,completed
19,1,1,1,2026-02-02 10:00:00,60,completed
20,2,2,6,2026-02-03 14:00:00,90,completed
21,3,3,2,2026-02-04 11:00:00,60,completed
22,1,6,1,2026-02-05 10:00:00,60,completed
23,5,5,8,2026-02-06 16:00:00,90,completed
24,7,9,7,2026-02-07 13:00:00,60,completed
25,10,12,6,2026-02-10 17:00:00,90,completed
26,4,4,5,2026-02-11 15:00:00,60,cancelled
27,9,11,1,2026-02-12 09:00:00,60,completed
28,1,1,1,2026-03-01 10:00:00,60,completed
29,2,2,6,2026-03-02 14:00:00,90,completed
30,5,5,8,2026-03-03 16:00:00,90,scheduled
