payment_id,lesson_id,amount,paid_at,payment_method,status
1,1,1500,2026-01-05 10:30:00,card,paid
2,2,1500,2026-01-12 10:30:00,card,paid
3,3,3000,2026-01-06 14:30:00,card,paid
4,4,3000,2026-01-13 14:30:00,cash,paid
5,5,1800,2026-01-07 11:30:00,card,paid
6,6,1200,2026-01-08 15:30:00,card,paid
7,7,3750,2026-01-09 16:30:00,card,paid
8,8,1500,2026-01-10 10:30:00,cash,paid
9,9,3000,2026-01-11 14:30:00,card,paid
10,10,1800,2026-01-14 11:30:00,card,paid
11,11,1500,2026-01-19 10:30:00,card,paid
12,12,3000,2026-01-20 14:30:00,card,paid
13,13,1200,2026-01-22 15:30:00,cash,paid
14,14,3750,2026-01-23 16:30:00,card,paid
15,15,1400,2026-01-15 13:30:00,card,paid
16,16,1300,2026-01-16 12:30:00,card,paid
17,17,1100,2026-01-17 09:30:00,cash,paid
18,18,3300,2026-01-18 17:30:00,card,paid
19,19,1500,2026-02-02 10:30:00,card,paid
20,20,3000,2026-02-03 14:30:00,card,paid
21,21,1800,2026-02-04 11:30:00,card,paid
22,22,1500,2026-02-05 10:30:00,cash,paid
23,23,3750,2026-02-06 16:30:00,card,paid
24,24,1400,2026-02-07 13:30:00,card,paid
25,25,3300,2026-02-10 17:30:00,card,paid
26,26,0,2026-02-11 15:30:00,card,refunded
27,27,1100,2026-02-12 09:30:00,card,paid
28,28,1500,2026-03-01 10:30:00,card,paid
29,29,3000,2026-03-02 14:30:00,card,paid
