review_id,lesson_id,student_id,tutor_id,rating,comment,created_at
1,2,1,1,5,Отличный репетитор! Очень понятно объясняет материал.,2026-01-12 11:00:00
2,4,2,2,5,Прекрасные занятия по английскому. Заметен прогресс.,2026-01-13 15:30:00
3,5,3,3,4,Хороший преподаватель физики. Иногда слишком быстро объясняет.,2026-01-07 12:00:00
4,6,4,4,5,Очень терпеливый репетитор по русскому языку.,2026-01-08 16:00:00
5,7,5,5,5,Лучший репетитор по информатике! Знает материал на отлично.,2026-01-09 17:30:00
6,8,6,1,4,Хорошо объясняет математику. Рекомендую.,2026-01-10 11:30:00
7,9,7,2,5,Английский язык стал намного лучше после занятий.,2026-01-11 16:00:00
8,10,8,3,3,Средний преподаватель. Могло быть лучше.,2026-01-14 12:30:00
9,11,1,1,5,Снова отличное занятие по математике!,2026-01-19 11:00:00
10,12,2,2,5,Занятия по английскому просто замечательные.,2026-01-20 16:00:00
11,14,5,5,5,Программирование с таким репетитором — одно удовольствие.,2026-01-23 18:00:00
12,15,9,7,4,Хорошее занятие по истории. Интересные факты.,2026-01-15 14:00:00
13,16,10,8,4,Биология стала понятнее. Спасибо!,2026-01-16 13:00:00
14,17,11,9,3,Репетитор знает материал но объясняет не очень.,2026-01-17 10:00:00
15,18,12,10,5,Английский язык с Анастасией — это отлично!,2026-01-18 18:30:00
16,19,1,1,5,Уже третий месяц занимаемся — результаты видны.,2026-02-02 11:00:00
17,20,2,2,5,Продолжаем занятия. Всё так же отлично.,2026-02-03 15:30:00
18,21,3,3,4,Физика стала понятнее. Готовимся к ЕГЭ.,2026-02-04 12:00:00
19,23,5,5,5,Подготовка к олимпиаде идёт отлично!,2026-02-06 18:00:00
20,24,9,7,5,История с Андреем очень интересная!,2026-02-07 14:00:00
21,27,11,9,4,Улучшения есть. Продолжаем работу.,2026-02-12 10:30:00
22,28,1,1,5,Готовимся к ОГЭ — репетитор помогает очень.,2026-03-01 11:00:00
23,29,2,2,5,Английский на высоте! Спасибо Ольге.,2026-03-02 15:30:00
